"No.","Time","Source","Destination","Protocol","Length","Info"
"910","50.781781","54.212.198.181","192.168.1.19","TCP","54","[TCP Dup ACK 909#1] 443  >  58712 [ACK] Seq=65 Ack=3 Win=268 Len=0"
"911","50.952646","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"912","50.956536","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"913","51.033809","192.168.1.19","202.88.152.8","DNS","78","Standard query 0xcf68 A www.googleapis.com"
"914","51.034291","192.168.1.19","202.88.152.8","DNS","78","Standard query 0x05c2 HTTPS www.googleapis.com"
"915","51.036113","202.88.152.8","192.168.1.19","DNS","445","Standard query response 0xcf68 A www.googleapis.com A 142.250.196.42 A 142.250.195.170 A 142.250.205.74 A 142.250.206.10 A 142.250.195.106 A 142.250.196.74 A 142.250.182.42 A 142.250.195.138 A 142.250.182.10 A 142.250.207.74 A 142.250.77.170 A 142.250.195.202 A 142.250.196.170 A 142.250.195.234 A 142.250.196.10 A 142.250.195.74 NS ns4.google.com NS ns1.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.36.10"
"916","51.036972","202.88.152.8","192.168.1.19","DNS","135","Standard query response 0x05c2 HTTPS www.googleapis.com SOA ns1.google.com"
"929","51.077265","142.250.196.42","192.168.1.19","QUIC","456","Protected Payload (KP0)"
"930","51.077265","142.250.196.42","192.168.1.19","QUIC","878","Protected Payload (KP0)"
"931","51.077265","142.250.196.42","192.168.1.19","QUIC","180","Protected Payload (KP0)"
"932","51.077265","142.250.196.42","192.168.1.19","QUIC","66","Protected Payload (KP0)"
